LanguagePack uk-UA|Переклад
account.doubleOptinAccountAlert|Ваш обліковий запис клієнта ще не активовано. Ми надіслали електронний лист із підтвердженням, що містить посилання для активації. Перевірте свою поштову скриньку та натисніть на посилання, щоб завершити реєстрацію!
account.downloadFileButton|Завантажити
account.downloadItemColumnDate|Дата
account.downloadItemColumnTitle|Файл
account.faxLabel|Факс
account.faxPlaceholder|Введіть факс
account.homepageLabel|Головна сторінка
account.homepagePlaceholder|Введіть URL-адресу домашньої сторінки
account.passwordNotIdentical|Введені паролі не збігаються.
account.personalTypePlaceholder|Виберіть...
account.profileCurrentMailPlaceholder|Введіть адресу електронної пошти...
account.profileDeleteText|"<a href=""%target%"" data-bs-toggle=""modal"" data-bs-target=""%target%"">Натисніть тут</a>, щоб видалити всі ваші персональні дані."
account.profilePasswordCreateNewPlaceholder|Введіть новий пароль...
account.profilePasswordCurrentPlaceholder|Введіть поточний пароль...
acrisFilter.buttonFiltersHide|Показати менше фільтрів
acrisFilter.buttonFilterShowHideLabel|Показати більше або менше фільтрів
acrisFilter.buttonFiltersShow|Показати більше фільтрів
acrisFilter.buttonHeaderSearchAllCategories|Усі категорії
acrisFilter.filter.labelAfter|)
acrisFilter.filter.labelBefore|(
acrisFilter.filterAvailabilityDisplayName|Доступно негайно
acrisFilter.filterCategoriesDisplayName|Категорії
acrisFilter.filterRangeActiveMaxLabel|Майно %displayName% –
acrisFilter.filterRangeActiveMinLabel|Майно %displayName% від
acrisFilter.filterRangeSliderFrom|від
acrisFilter.filterRangeSliderTo|до
acrisFilter.filterSearchPlaceholder|Пошук...
card.card-image|Зображення %name%
card.linkTitle|Відкрити %url% у новій вкладці
cbaxLexicon.page.ajax.linkDescription|До лексикону
cbaxLexicon.page.banner.alt|Банер
cbaxLexicon.page.boxKeyword.moreRead|Читати більше
cbaxLexicon.page.breadcrumb.name|Лексикон
cbaxLexicon.page.content.headline|Зміст
cbaxLexicon.page.content.metaDescription|Вміст опису метаболізму лексикону
cbaxLexicon.page.content.metaKeywords|Вміст ключових слів метаболізму Lexicon
cbaxLexicon.page.content.metaTitle|Зміст
cbaxLexicon.page.filter.button|Навігація Lexicon
cbaxLexicon.page.filter.headline|Навігація Lexicon
cbaxLexicon.page.index.metaDescription|Індекс опису метаболізму лексикону
cbaxLexicon.page.index.metaKeywords|Індекс мета ключових слів Lexicon
cbaxLexicon.page.index.metaTitle|Лексикон
cbaxLexicon.page.listing.entryHeadline|Публікації в цій категорії енциклопедії
cbaxLexicon.page.listing.metaDescription09|Перелік опису метаболізму лексикону 0-9
cbaxLexicon.page.listing.metaDescriptionA|Перелік A опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionB|Перелік B опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionC|Список C Опису Металу Лексикону
cbaxLexicon.page.listing.metaDescriptionD|Перелік D опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionE|Перелік E опису метаданих лексикону
cbaxLexicon.page.listing.metaDescriptionF|Перелік F опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionG|Перелік G опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionH|Перелік H опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionI|Список описів метаболізму лексикону I
cbaxLexicon.page.listing.metaDescriptionJ|Перелік J опису метаданих Лексикону
cbaxLexicon.page.listing.metaDescriptionK|Перелік K опису метаданих Лексикону
cbaxLexicon.page.listing.metaDescriptionL|Перелік L опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionM|Список M опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionN|Перелік N опису метаданих лексикону
cbaxLexicon.page.listing.metaDescriptionO|Перелік O опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionP|Перелік P опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionQ|Список Q опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionR|Перелік R опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionS|Перелік S опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionT|Перелік Т опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionU|Перелік опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionV|Список V опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionW|Перелік опису метаболізму лексикону W
cbaxLexicon.page.listing.metaDescriptionX|Список X опису метаданих лексикону
cbaxLexicon.page.listing.metaDescriptionY|Перелік Y опису метаболізму лексикону
cbaxLexicon.page.listing.metaDescriptionZ|Перелік Z опису метаданих Лексикону
cbaxLexicon.page.listing.metaKeywords09|Перелік ключових слів метаболізму Lexicon 0-9
cbaxLexicon.page.listing.metaKeywordsA|Ключові слова метаболізму Lexicon, перелік A
cbaxLexicon.page.listing.metaKeywordsB|Ключові слова метаболізму Lexicon, перелік B
cbaxLexicon.page.listing.metaKeywordsC|Перелік ключових слів метаболізму Lexicon
cbaxLexicon.page.listing.metaKeywordsD|Перелік ключових слів метаболізму Lexicon
cbaxLexicon.page.listing.metaKeywordsE|Перелік ключових слів метаболізму Lexicon
cbaxLexicon.page.listing.metaKeywordsF|Перелік ключових слів метаболізму Lexicon F
cbaxLexicon.page.listing.metaKeywordsG|Перелік ключових слів метаболізму Lexicon G
cbaxLexicon.page.listing.metaKeywordsH|Перелік ключових слів метаболізму Lexicon H
cbaxLexicon.page.listing.metaKeywordsI|Список ключових слів метаболізму Lexicon I
cbaxLexicon.page.listing.metaKeywordsJ|Перелік ключових слів метаболізму Lexicon J
cbaxLexicon.page.listing.metaKeywordsK|Перелік ключових слів метаболізму Lexicon K
cbaxLexicon.page.listing.metaKeywordsL|Перелік ключових слів метаболізму Lexicon L
cbaxLexicon.page.listing.metaKeywordsM|Перелік ключових слів метаболізму Lexicon M
cbaxLexicon.page.listing.metaKeywordsN|Ключові слова метаболізму Lexicon, перелік N
cbaxLexicon.page.listing.metaKeywordsO|Перелік ключових слів метаболізму Lexicon
cbaxLexicon.page.listing.metaKeywordsP|Перелік ключових слів метаболізму Lexicon P
cbaxLexicon.page.listing.metaKeywordsQ|Список ключових слів метаболітів Lexicon Q
cbaxLexicon.page.listing.metaKeywordsR|Перелік ключових слів метаболізму Lexicon
cbaxLexicon.page.listing.metaKeywordsS|Перелік ключових слів метаболізму Lexicon S
cbaxLexicon.page.listing.metaKeywordsT|Перелік ключових слів метаболізму Lexicon
cbaxLexicon.page.listing.metaKeywordsU|Ключові слова метаболізму Lexicon з переліком U
cbaxLexicon.page.listing.metaKeywordsV|Перелік ключових слів метаболізму Lexicon V
cbaxLexicon.page.listing.metaKeywordsW|Перелік ключових слів метаболізму Lexicon W
cbaxLexicon.page.listing.metaKeywordsX|Перелік ключових слів метаболізму Lexicon X
cbaxLexicon.page.listing.metaKeywordsY|Перелік ключових слів метаболізму Lexicon, перелік Y
cbaxLexicon.page.listing.metaKeywordsZ|Мета-ключові слова Lexicon, перелік Z
cbaxLexicon.page.listing.metaTitle09|0-9
cbaxLexicon.page.listing.metaTitleA|A
cbaxLexicon.page.listing.metaTitleB|B
cbaxLexicon.page.listing.metaTitleC|C
cbaxLexicon.page.listing.metaTitleD|D
cbaxLexicon.page.listing.metaTitleE|E
cbaxLexicon.page.listing.metaTitleF|F
cbaxLexicon.page.listing.metaTitleG|G
cbaxLexicon.page.listing.metaTitleH|H
cbaxLexicon.page.listing.metaTitleI|Я
cbaxLexicon.page.listing.metaTitleJ|J
cbaxLexicon.page.listing.metaTitleK|K
cbaxLexicon.page.listing.metaTitleL|L
cbaxLexicon.page.listing.metaTitleM|М
cbaxLexicon.page.listing.metaTitleN|N
cbaxLexicon.page.listing.metaTitleO|O
cbaxLexicon.page.listing.metaTitleP|P
cbaxLexicon.page.listing.metaTitleQ|Q
cbaxLexicon.page.listing.metaTitleR|R
cbaxLexicon.page.listing.metaTitleS|S
cbaxLexicon.page.listing.metaTitleT|T
