LanguagePack ru-RU|Перевод
account.doubleOptinAccountAlert|Ваша учетная запись клиента еще не активирована. Мы отправили электронное письмо с подтверждением, содержащее ссылку для активации. Пожалуйста, проверьте свой почтовый ящик и нажмите на ссылку, чтобы завершить регистрацию!
account.downloadFileButton|Загрузить
account.downloadItemColumnDate|Дата
account.downloadItemColumnTitle|Файл
account.faxLabel|Факс
account.faxPlaceholder|Введите факс
account.homepageLabel|Главная страница
account.homepagePlaceholder|Введите URL-адрес домашней страницы
account.passwordNotIdentical|Введенные пароли не совпадают.
account.personalTypePlaceholder|Выбрать...
account.profileCurrentMailPlaceholder|Введите адрес электронной почты...
account.profileDeleteText|"<a href=""%target%"" data-bs-toggle=""modal"" data-bs-target=""%target%"">Нажмите здесь</a>, чтобы удалить все свои персональные данные."
account.profilePasswordCreateNewPlaceholder|Введите новый пароль...
account.profilePasswordCurrentPlaceholder|Введите текущий пароль...
acrisFilter.buttonFiltersHide|Показать меньше фильтров
acrisFilter.buttonFilterShowHideLabel|Показать больше или меньше фильтров
acrisFilter.buttonFiltersShow|Показать больше фильтров
acrisFilter.buttonHeaderSearchAllCategories|Все категории
acrisFilter.filter.labelAfter|)
acrisFilter.filter.labelBefore|(
acrisFilter.filterAvailabilityDisplayName|Немедленно доступен
acrisFilter.filterCategoriesDisplayName|Категории
acrisFilter.filterRangeActiveMaxLabel|Свойство %displayName% для
acrisFilter.filterRangeActiveMinLabel|Свойство %displayName% из
acrisFilter.filterRangeSliderFrom|из
acrisFilter.filterRangeSliderTo|чтобы
acrisFilter.filterSearchPlaceholder|Поиск...
card.card-image|Изображение %name%
card.linkTitle|Открыть %url% в новой вкладке
cbaxLexicon.page.ajax.linkDescription|К лексикону
cbaxLexicon.page.banner.alt|Баннер
cbaxLexicon.page.boxKeyword.moreRead|Подробнее
cbaxLexicon.page.breadcrumb.name|Лексикон
cbaxLexicon.page.content.headline|Содержание
cbaxLexicon.page.content.metaDescription|Содержание мета-описания Lexicon
cbaxLexicon.page.content.metaKeywords|Содержание ключевых слов Lexicon Meta
cbaxLexicon.page.content.metaTitle|Содержание
cbaxLexicon.page.filter.button|Навигация по лексикону
cbaxLexicon.page.filter.headline|Навигация по лексикону
cbaxLexicon.page.index.metaDescription|Индекс метаописания Lexicon
cbaxLexicon.page.index.metaKeywords|Индекс ключевых слов Lexicon Meta
cbaxLexicon.page.index.metaTitle|Лексикон
cbaxLexicon.page.listing.entryHeadline|Публикации в этой категории энциклопедии
cbaxLexicon.page.listing.metaDescription09|Перечень мета-описаний Lexicon 0-9
cbaxLexicon.page.listing.metaDescriptionA|Мета-описание компании Lexicon, перечень A
cbaxLexicon.page.listing.metaDescriptionB|Перечень B мета-описания Lexicon
