LanguagePack bg-BG|Превод
account.doubleOptinAccountAlert|Вашият клиентски акаунт все още не е активиран. Изпратихме имейл за потвърждение, съдържащ връзка за активиране. Моля, проверете входящата си поща и кликнете върху връзката, за да завършите регистрацията!
account.downloadFileButton|Изтегляне
account.downloadItemColumnDate|Дата
account.downloadItemColumnTitle|Файл
account.faxLabel|Факс
account.faxPlaceholder|Въведете факс
account.homepageLabel|Начална страница
account.homepagePlaceholder|Въведете URL адрес на началната страница
account.passwordNotIdentical|Въведените от Вас пароли не съвпадат.
account.personalTypePlaceholder|Изберете...
account.profileCurrentMailPlaceholder|Въведете имейл адрес...
account.profileDeleteText|"<a href=""%target%"" data-bs-toggle=""modal"" data-bs-target=""%target%"">Щракнете тук</a>, за да изтриете всички Ваши лични данни."
account.profilePasswordCreateNewPlaceholder|Въведете нова парола...
account.profilePasswordCurrentPlaceholder|Въведете текущата парола...
acrisFilter.buttonFiltersHide|Показване на по-малко филтри
acrisFilter.buttonFilterShowHideLabel|Показване на повече или по-малко филтри
acrisFilter.buttonFiltersShow|Показване на повече филтри
acrisFilter.buttonHeaderSearchAllCategories|Всички категории
acrisFilter.filter.labelAfter|)
acrisFilter.filter.labelBefore|(
acrisFilter.filterAvailabilityDisplayName|Незабавно налично
acrisFilter.filterCategoriesDisplayName|Категории
acrisFilter.filterRangeActiveMaxLabel|Собственост %displayName% до
acrisFilter.filterRangeActiveMinLabel|Собственост %displayName% от
acrisFilter.filterRangeSliderFrom|от
acrisFilter.filterRangeSliderTo|към
acrisFilter.filterSearchPlaceholder|Търсене...
card.card-image|Изображение на %name%
card.linkTitle|Отворете %url% в нов раздел
cbaxLexicon.page.ajax.linkDescription|Към речника
cbaxLexicon.page.banner.alt|Банер
cbaxLexicon.page.boxKeyword.moreRead|Прочетете повече
cbaxLexicon.page.breadcrumb.name|Лексикон
cbaxLexicon.page.content.headline|Съдържание
cbaxLexicon.page.content.metaDescription|Съдържание на описанието на Lexicon Meta
cbaxLexicon.page.content.metaKeywords|Съдържание на ключови думи за Lexicon Meta
cbaxLexicon.page.content.metaTitle|Съдържание
cbaxLexicon.page.filter.button|Навигация на Lexicon
cbaxLexicon.page.filter.headline|Навигация на Lexicon
cbaxLexicon.page.index.metaDescription|Индекс на описание на Lexicon Meta
cbaxLexicon.page.index.metaKeywords|Индекс на Lexicon Meta ключови думи
cbaxLexicon.page.index.metaTitle|Лексикон
cbaxLexicon.page.listing.entryHeadline|Публикации в тази категория енциклопедия
cbaxLexicon.page.listing.metaDescription09|Списък с описание на Lexicon Meta 0-9
cbaxLexicon.page.listing.metaDescriptionA|Описание на Lexicon Meta Списък А
cbaxLexicon.page.listing.metaDescriptionB|Описание на Lexicon Meta Списък B
cbaxLexicon.page.listing.metaDescriptionC|Списък с описание на Lexicon Meta C
cbaxLexicon.page.listing.metaDescriptionD|Списък с описание на Lexicon Meta D
cbaxLexicon.page.listing.metaDescriptionE|Списък с описание на Lexicon Meta E
cbaxLexicon.page.listing.metaDescriptionF|Описание на Lexicon Meta Списък F
