TENTE ja-JP|翻訳
account.doubleOptinAccountAlert|お客様のアカウントはまだ有効化されていません。アクティベーションリンクが記載された確認メールをお送りしました。受信トレイを確認し、リンクをクリックしてサインアップを完了してください！
account.downloadFileButton|ダウンロード
account.downloadItemColumnDate|日付
account.downloadItemColumnTitle|ファイル
account.faxLabel|ファックス
account.faxPlaceholder|ファックスを入力
account.homepageLabel|ホームページ
account.homepagePlaceholder|ホームページのURLを入力
account.passwordNotIdentical|入力されたパスワードが一致しません。
account.personalTypePlaceholder|選択...
account.profileCurrentMailPlaceholder|Eメールアドレスを入力...
account.profileDeleteText|<a href=""%target%"" data-bs-toggle=""modal"" data-bs-target=""%target%""></a>
account.profilePasswordCreateNewPlaceholder|新しいパスワードを入力...
account.profilePasswordCurrentPlaceholder|現在のパスワードを入力...
acrisFilter.buttonFiltersHide|少ないフィルターを表示
acrisFilter.buttonFilterShowHideLabel|多かれ少なかれフィルターを表示
acrisFilter.buttonFiltersShow|その他のフィルターを表示
acrisFilter.buttonHeaderSearchAllCategories|すべてのカテゴリー
acrisFilter.filter.labelAfter|)
acrisFilter.filter.labelBefore|(
acrisFilter.filterAvailabilityDisplayName|すぐに利用可能
acrisFilter.filterCategoriesDisplayName|カテゴリ
acrisFilter.filterRangeActiveMaxLabel|プロパティ %displayName% から
acrisFilter.filterRangeActiveMinLabel|プロパティ%displayName%
acrisFilter.filterRangeSliderFrom|から
acrisFilter.filterRangeSliderTo|から
acrisFilter.filterSearchPlaceholder|検索...
card.card-image|%name%の画像
card.linkTitle|新しいタブで%url%を開く
cbaxLexicon.page.ajax.linkDescription|レキシコンへ
cbaxLexicon.page.banner.alt|バナー
cbaxLexicon.page.boxKeyword.moreRead|詳細を読む
cbaxLexicon.page.breadcrumb.name|レキシコン
cbaxLexicon.page.content.headline|目次
cbaxLexicon.page.content.metaDescription|レキシコンメタディスクリプションコンテンツ
cbaxLexicon.page.content.metaKeywords|レキシコンメタキーワードコンテンツ
cbaxLexicon.page.content.metaTitle|目次
cbaxLexicon.page.filter.button|レキシコンナビゲーション
cbaxLexicon.page.filter.headline|レキシコンナビゲーション
cbaxLexicon.page.index.metaDescription|レキシコンメタディスクリプションインデックス
cbaxLexicon.page.index.metaKeywords|レキシコンメタキーワードインデックス
cbaxLexicon.page.index.metaTitle|レキシコン
cbaxLexicon.page.listing.entryHeadline|この百科事典カテゴリーの投稿
cbaxLexicon.page.listing.metaDescription09|レキシコンメタディスクリプションリスト0～9
cbaxLexicon.page.listing.metaDescriptionA|レキシコンメタディスクリプションリストA
cbaxLexicon.page.listing.metaDescriptionB|レキシコンメタディスクリプションリストB
cbaxLexicon.page.listing.metaDescriptionC|レキシコンメタディスクリプションリストC
cbaxLexicon.page.listing.metaDescriptionD|レキシコンメタディスクリプションリストD
cbaxLexicon.page.listing.metaDescriptionE|レキシコンメタディスクリプションリストE
cbaxLexicon.page.listing.metaDescriptionF|レキシコンメタディスクリプションリストF
cbaxLexicon.page.listing.metaDescriptionG|レキシコンメタディスクリプションリストG
cbaxLexicon.page.listing.metaDescriptionH|レキシコンメタディスクリプションリストH
cbaxLexicon.page.listing.metaDescriptionI|レキシコンメタディスクリプションリストI
cbaxLexicon.page.listing.metaDescriptionJ|レキシコンメタディスクリプションリストJ
cbaxLexicon.page.listing.metaDescriptionK|レキシコンメタディスクリプションリストK
cbaxLexicon.page.listing.metaDescriptionL|レキシコンメタディスクリプションリストL
cbaxLexicon.page.listing.metaDescriptionM|レキシコンメタディスクリプションリストM
cbaxLexicon.page.listing.metaDescriptionN|レキシコンメタディスクリプションリストN
cbaxLexicon.page.listing.metaDescriptionO|レキシコンメタディスクリプションリストO
cbaxLexicon.page.listing.metaDescriptionP|レキシコンメタディスクリプションリストP
cbaxLexicon.page.listing.metaDescriptionQ|レキシコンメタディスクリプションリストQ
cbaxLexicon.page.listing.metaDescriptionR|レキシコンメタディスクリプションリストR
cbaxLexicon.page.listing.metaDescriptionS|レキシコンメタディスクリプションリストS
cbaxLexicon.page.listing.metaDescriptionT|レキシコンメタディスクリプションリストT
cbaxLexicon.page.listing.metaDescriptionU|レキシコンメタディスクリプションリストU
cbaxLexicon.page.listing.metaDescriptionV|レキシコンメタディスクリプションリストV
cbaxLexicon.page.listing.metaDescriptionW|レキシコンメタディスクリプションリストW
cbaxLexicon.page.listing.metaDescriptionX|レキシコンメタディスクリプションリストX
cbaxLexicon.page.listing.metaDescriptionY|レキシコンメタディスクリプションリストY
cbaxLexicon.page.listing.metaDescriptionZ|レキシコンメタディスクリプションリストZ
cbaxLexicon.page.listing.metaKeywords09|レキシコンメタキーワードリスト0～9
cbaxLexicon.page.listing.metaKeywordsA|レキシコンメタキーワードリストA
cbaxLexicon.page.listing.metaKeywordsB|レキシコンメタキーワードリストB
cbaxLexicon.page.listing.metaKeywordsC|レキシコンメタキーワードリストC
cbaxLexicon.page.listing.metaKeywordsD|レキシコンメタキーワードリストD
cbaxLexicon.page.listing.metaKeywordsE|レキシコンメタキーワードリストE
cbaxLexicon.page.listing.metaKeywordsF|レキシコンメタキーワードリストF
cbaxLexicon.page.listing.metaKeywordsG|レキシコンメタキーワードリストG
cbaxLexicon.page.listing.metaKeywordsH|レキシコンメタキーワードリストH
cbaxLexicon.page.listing.metaKeywordsI|レキシコンメタキーワードリストI
cbaxLexicon.page.listing.metaKeywordsJ|レキシコンメタキーワードリストJ
