LanguagePack zh-CN|翻译
account.doubleOptinAccountAlert|您的客户账户尚未激活。我们已发送一封包含激活链接的确认电子邮件。请检查您的收件箱，然后点击链接完成注册！
account.downloadFileButton|下载
account.downloadItemColumnDate|日期
account.downloadItemColumnTitle|文件
account.faxLabel|传真
account.faxPlaceholder|输入传真
account.homepageLabel|主页
account.homepagePlaceholder|输入主页 URL
account.passwordNotIdentical|您输入的密码不匹配。
account.personalTypePlaceholder|选择...
account.profileCurrentMailPlaceholder|输入电子邮件地址...
account.profileDeleteText|"<a href=""%target%"" data-bs-toggle=""modal"" data-bs-target=""%target%"">点击此处</a>删除您的所有个人数据。"
account.profilePasswordCreateNewPlaceholder|输入新密码...
account.profilePasswordCurrentPlaceholder|输入当前密码...
acrisFilter.buttonFiltersHide|显示较少的筛选器
acrisFilter.buttonFilterShowHideLabel|显示更多或更少的筛选器
acrisFilter.buttonFiltersShow|显示更多筛选器
acrisFilter.buttonHeaderSearchAllCategories|所有类别
acrisFilter.filter.labelAfter|)
acrisFilter.filter.labelBefore|(
acrisFilter.filterAvailabilityDisplayName|立即可用
acrisFilter.filterCategoriesDisplayName|类别
acrisFilter.filterRangeActiveMaxLabel|属性 %displayName% 到
acrisFilter.filterRangeActiveMinLabel|属性 %displayName% 来自
acrisFilter.filterRangeSliderFrom|从
acrisFilter.filterRangeSliderTo|至
acrisFilter.filterSearchPlaceholder|搜索...
card.card-image|%name% 的图像
card.linkTitle|在新选项卡中打开 %url%
cbaxLexicon.page.ajax.linkDescription|到词典
cbaxLexicon.page.banner.alt|横幅
cbaxLexicon.page.boxKeyword.moreRead|阅读更多
cbaxLexicon.page.breadcrumb.name|词汇
cbaxLexicon.page.content.headline|目录
cbaxLexicon.page.content.metaDescription|Lexicon Meta 描述内容
cbaxLexicon.page.content.metaKeywords|Lexicon Meta 关键字内容
cbaxLexicon.page.content.metaTitle|目录
cbaxLexicon.page.filter.button|词汇导航
cbaxLexicon.page.filter.headline|词汇导航
cbaxLexicon.page.index.metaDescription|词汇元描述索引
cbaxLexicon.page.index.metaKeywords|Lexicon Meta 关键字索引
cbaxLexicon.page.index.metaTitle|词汇
cbaxLexicon.page.listing.entryHeadline|此百科全书类别中的帖子
cbaxLexicon.page.listing.metaDescription09|词汇元描述列表 0-9
cbaxLexicon.page.listing.metaDescriptionA|词汇元描述列表 A
cbaxLexicon.page.listing.metaDescriptionB|词汇元描述列表 B
