LanguagePack sr-RS|Prevod
account.doubleOptinAccountAlert|Vaš korisnički nalog još uvek nije aktiviran. Poslali smo e-poruku sa potvrdom koja sadrži vezu za aktivaciju. Proverite prijemno sanduče i kliknite na vezu da biste završili registraciju!
account.downloadFileButton|Download
account.downloadItemColumnDate|Datum
account.downloadItemColumnTitle|Datoteka
account.faxLabel|Faks
account.faxPlaceholder|Unesite faks
account.homepageLabel|Početna stranica
account.homepagePlaceholder|Unesite URL na početnoj stranici
account.passwordNotIdentical|Lozinke koje ste uneli se ne podudaraju.
account.personalTypePlaceholder|Izaberite...
account.profileCurrentMailPlaceholder|Unesite adresu e-pošte...
account.profileDeleteText|"<a href=""%target%"" data-bs-toggle=""modal"" data-bs-target=""%target%"">Kliknite ovde</a> da biste izbrisali sve vaše lične podatke."
account.profilePasswordCreateNewPlaceholder|Unesite novu lozinku...
account.profilePasswordCurrentPlaceholder|Unesite trenutnu lozinku...
acrisFilter.buttonFiltersHide|Prikaži manje filtera
acrisFilter.buttonFilterShowHideLabel|Prikaži više ili manje filtera
acrisFilter.buttonFiltersShow|Prikaži više filtera
acrisFilter.buttonHeaderSearchAllCategories|Sve kategorije
acrisFilter.filter.labelAfter|)
acrisFilter.filter.labelBefore|(
acrisFilter.filterAvailabilityDisplayName|Dostupno odmah
acrisFilter.filterCategoriesDisplayName|Kategorije
acrisFilter.filterRangeActiveMaxLabel|Imovina %displayName% do
acrisFilter.filterRangeActiveMinLabel|Imovina %displayName% od
acrisFilter.filterRangeSliderFrom|od
acrisFilter.filterRangeSliderTo|To
acrisFilter.filterSearchPlaceholder|Pretraga...
card.card-image|Slika %name%
card.linkTitle|Otvorite %url% na novoj kartici
cbaxLexicon.page.ajax.linkDescription|U leksikonu
cbaxLexicon.page.banner.alt|Zabrana
cbaxLexicon.page.boxKeyword.moreRead|Pročitaj više
cbaxLexicon.page.breadcrumb.name|Leksikona
cbaxLexicon.page.content.headline|Tabela sadržaja
cbaxLexicon.page.content.metaDescription|Sadržaj opisivanja leka Leksicon Meta
cbaxLexicon.page.content.metaKeywords|Sadržaj ključnih reči Leksicon Meta
cbaxLexicon.page.content.metaTitle|Tabela sadržaja
cbaxLexicon.page.filter.button|Navigacija leksikonom
cbaxLexicon.page.filter.headline|Navigacija leksikonom
cbaxLexicon.page.index.metaDescription|Indeks opisivanja mete leka
cbaxLexicon.page.index.metaKeywords|Indeks ključnih reči leksikona Meta
cbaxLexicon.page.index.metaTitle|Leksikona
cbaxLexicon.page.listing.entryHeadline|Postovi u ovoj kategoriji enciklopedija
cbaxLexicon.page.listing.metaDescription09|Opis leka Meta lista 0-9
cbaxLexicon.page.listing.metaDescriptionA|Leksikonski meta opis Lista A
cbaxLexicon.page.listing.metaDescriptionB|Opis leka Meta B
cbaxLexicon.page.listing.metaDescriptionC|Opis leka Meta C
cbaxLexicon.page.listing.metaDescriptionD|Opis leka Meta D
cbaxLexicon.page.listing.metaDescriptionE|Opis leka Meta Lista E
cbaxLexicon.page.listing.metaDescriptionF|Leksikonski Meta Opis Lista F
cbaxLexicon.page.listing.metaDescriptionG|Opis leka Meta G
cbaxLexicon.page.listing.metaDescriptionH|Leksikonski Meta Opis Lista H
cbaxLexicon.page.listing.metaDescriptionI|Opis leka Meta Lista I
cbaxLexicon.page.listing.metaDescriptionJ|Opis leka Meta DŽ.
cbaxLexicon.page.listing.metaDescriptionK|Leksikonska meta Opis Lista K
cbaxLexicon.page.listing.metaDescriptionL|Leksikon meta Opis lista L
cbaxLexicon.page.listing.metaDescriptionM|Opis leka Meta lista M
cbaxLexicon.page.listing.metaDescriptionN|Opis leka Meta lista N
cbaxLexicon.page.listing.metaDescriptionO|Opis leka Meta Lista O
cbaxLexicon.page.listing.metaDescriptionP|Opis leka Meta P
cbaxLexicon.page.listing.metaDescriptionQ|Opis leka Meta u listi Q
cbaxLexicon.page.listing.metaDescriptionR|Opis leka Meta R
cbaxLexicon.page.listing.metaDescriptionS|Opis leka Meta S
cbaxLexicon.page.listing.metaDescriptionT|Opis leka Meta T
cbaxLexicon.page.listing.metaDescriptionU|Opis leka Meta koji vas navodi
cbaxLexicon.page.listing.metaDescriptionV|Leksikonski Meta Opis Lista V
cbaxLexicon.page.listing.metaDescriptionW|Opis leka Meta W
cbaxLexicon.page.listing.metaDescriptionX|Leksikonska meta Opis Lista X
cbaxLexicon.page.listing.metaDescriptionY|Opis leka Meta lista Y
cbaxLexicon.page.listing.metaDescriptionZ|Leksikonski Meta Opis Lista Z
cbaxLexicon.page.listing.metaKeywords09|Ključne reči leksikona Meta Lista 0-9
cbaxLexicon.page.listing.metaKeywordsA|Lexicon Meta ključne reči koje se nalaze na listi A
cbaxLexicon.page.listing.metaKeywordsB|Lexicon Meta ključne reči lista B
cbaxLexicon.page.listing.metaKeywordsC|Lexicon Meta Keywords Spisak ključnih reči C
cbaxLexicon.page.listing.metaKeywordsD|Lexicon Meta Keywords Lista ključnih reči D
cbaxLexicon.page.listing.metaKeywordsE|Lexicon Meta Keywords Lista ključnih reči E
cbaxLexicon.page.listing.metaKeywordsF|Lexicon Meta Keywords Lista ključnih reči F
cbaxLexicon.page.listing.metaKeywordsG|Lexicon Meta Keywords Spisak ključnih reči G
cbaxLexicon.page.listing.metaKeywordsH|Leksikon Meta ključne reči Lista H
cbaxLexicon.page.listing.metaKeywordsI|Lexicon Meta Keywords Spisak ključnih reči I
cbaxLexicon.page.listing.metaKeywordsJ|Lexicon Meta Keywords Spisak ključnih reči J
cbaxLexicon.page.listing.metaKeywordsK|Lexicon Meta Keywords Spisak ključnih reči K
cbaxLexicon.page.listing.metaKeywordsL|Lexicon Meta Keywords Spisak ključnih reči L
cbaxLexicon.page.listing.metaKeywordsM|Lexicon Meta Keywords Spisak ključnih reči M
cbaxLexicon.page.listing.metaKeywordsN|Lexicon Meta Keywords Spisak ključnih reči N
cbaxLexicon.page.listing.metaKeywordsO|Lexicon Meta Keywords Lista ključnih reči O
cbaxLexicon.page.listing.metaKeywordsP|Lexicon Meta Keywords Lista ključnih reči P
cbaxLexicon.page.listing.metaKeywordsQ|Lexicon Meta Keywords Lista ključnih reči Q
cbaxLexicon.page.listing.metaKeywordsR|Lexicon Meta Keywords Spisak ključnih reči R
cbaxLexicon.page.listing.metaKeywordsS|Lexicon Meta ključne reči S
cbaxLexicon.page.listing.metaKeywordsT|Lexicon Meta Keywords Spisak ključnih reči T
cbaxLexicon.page.listing.metaKeywordsU|Lexicon Meta ključne reči koje vas navode
cbaxLexicon.page.listing.metaKeywordsV|Lexicon Meta Keywords Spisak ključnih reči V
cbaxLexicon.page.listing.metaKeywordsW|Lexicon Meta Keywords Lista ključnih reči W
cbaxLexicon.page.listing.metaKeywordsX|Lexicon Meta Keywords Lista ključnih reči X
cbaxLexicon.page.listing.metaKeywordsY|Lexicon Meta Keywords Lista Y
cbaxLexicon.page.listing.metaKeywordsZ|Lexicon Meta Keywords Spisak ključnih reči Z
cbaxLexicon.page.listing.metaTitle09|0-9
cbaxLexicon.page.listing.metaTitleA|A
cbaxLexicon.page.listing.metaTitleB|B
cbaxLexicon.page.listing.metaTitleC|C
cbaxLexicon.page.listing.metaTitleD|D
cbaxLexicon.page.listing.metaTitleE|E
cbaxLexicon.page.listing.metaTitleF|F
cbaxLexicon.page.listing.metaTitleG|G
cbaxLexicon.page.listing.metaTitleH|H
cbaxLexicon.page.listing.metaTitleI|Ja
cbaxLexicon.page.listing.metaTitleJ|J
cbaxLexicon.page.listing.metaTitleK|K
cbaxLexicon.page.listing.metaTitleL|L
cbaxLexicon.page.listing.metaTitleM|M
cbaxLexicon.page.listing.metaTitleN|N
cbaxLexicon.page.listing.metaTitleO|O
cbaxLexicon.page.listing.metaTitleP|P
cbaxLexicon.page.listing.metaTitleQ|P
cbaxLexicon.page.listing.metaTitleR|R
cbaxLexicon.page.listing.metaTitleS|S
cbaxLexicon.page.listing.metaTitleT|T
cbaxLexicon.page.listing.metaTitleU|Ti
cbaxLexicon.page.listing.metaTitleV|V
cbaxLexicon.page.listing.metaTitleW|W
cbaxLexicon.page.listing.metaTitleX|X
cbaxLexicon.page.listing.metaTitleY|I
cbaxLexicon.page.listing.metaTitleZ|Z
cbaxLexicon.page.navigation.linkContent|Tabela sadržaja
cbaxLexicon.page.navigation.linkIndex|Početak stranice
cbaxLexicon.page.pagination.toOverview|Za pregled
cbaxLexicon.page.sidebar.title|Leksikona:
checkout.confirmRevocationReminder|Već ste izjavili da se odričete prava na povlačenje.
checkout.confirmRevocationTerms|Želim trenutni pristup digitalnom sadržaju i priznajem da se time odričem svog prava da otkažem.
checkout.confirmTermsReminderText|"Već ste prihvatili <a data-ajax-modal=""true"" data-url=""%url%"" href=""%url%"" title=""opšti uslovi"">opšti uslovi</a>."
checkout.confirmTermsText|"Pročitao/la sam i prihvatio/la <a data-ajax-modal=""true"" data-url=""%url%"" href=""%url%"" title=""opšte odredbe i uslovi"">opšte odredbe i uslovi</a>."
checkout.lineItemUnitPriceDescriptor|jedinica
checkout.merchant-not-selected|Izaberite svog lokalnog prodavca da biste nastavili čekiranje.
checkout.or|ili
